product_grp_id,title_tag_data,meta_description,meta_keywords
15,"Severe PMS symptoms, relief and medication",Herbal and natural products that help relieve the symptoms of severe PMS.,severe pms symptoms relief medication herbal natural primrose
16,Rheumatoid Arthritis Treatment - Art-R Arthritis Pain Relief Formula,Offers herbal remedies for rheumatoid Arthritis paid relief.  Natural solutions to the discomfort of Arthritis.,Rheumatoid arthritis pain relief medicine discomfort hand pain knee artitis joint pain
17,Symptom of menopuase - treatments,,
22,Hair Inhibitor Gel by Hair No More - Stop Hair Re-Growth,"Designed for sensitive areas like your bikini line, face or eyebrows, Hair No More Advanced hair inhibitors have proven 95% effective.",hair inhibitors hair growth inhibitor gel hair removal stop hari growth pubic hair removal laser hair removal
23,Hair Inhibitor Spray - Hair No More Fast Hair Removal,Slow and stop hair growth permanently.  Hair inhibitors have been proven effective.,"Hair growth inhibitor, hair inhibitor spray, advanced hair no more"
24,Advanced Hair Removal Cream - Painless Hair Removal,Offers hair removal cream and other hair removal products including hair inhibitors and waxing kits.,"hair removal cream, hari removal waxing kit hair inhibitor inhibitors products"
26,Hair Removal Kit - Permanent Body Hair Removal,"Stop hair from growing back permanently.  Offers hair removal products, hair growth inhibitors and more.",hair removal body hair product products growth inhibitors waxing kit cream creams permanent
27,Fast weight loss diet & pills,"Offers natural fast weight loss diet and pills, herbal weight loss programs and other natural weight loss alternatives",natural fast quick weight loss diet herbal weight loss programs and other natural weight loss alternatives
28,Quick weight loss diet,"Offers natural quick weight loss diet, herbal weight loss programs and other natural weight loss alternatives.",natural quick weight loss diet herbal weight loss programs and other natural weight loss drug free
29,Male low libido,Offers herbal products for low male libido and low male sex drive,male men man libido sex drive increase
30,Revivogen Hair Loss Treatment - Anti-DHT Treatment for Thinning Hair,Offers Revivogen products including Revivogen hair loss treatmens and Revivogen shampoo.,Revivogen anti dht hair loss treatment topical formula conditioner shampoo review revivogen dht hair loss treatment
34,Hair Essentials - Hair Growth Pills - Hair Loss Remedies,"Our top selling product for the treatment of hair loss. If you want thick new hair growth, Hair Essentials is the product for you.",faster hair growth hair loss vitamin vitamins topical hair growth treatment treatments shampoo vitamins
36,Max Libido Supplement - Male Libido Enhancer,Natural alternatives to prescription drugs to improve low libido in males.,"low libido, increase sex drive herbal supplements male men mens"
37,Increase Female Libido - Female Essence for Low Female Sex Drive,Herbal supplements for female libido and low female sex drive.,Herbal supplements female libido low female sex drive woman women
40,Chol-Lite Lowering High Cholesterol Levels - Natural Remedy,Herbal supplements for high cholesterol levels.  Offers numerous natural products for a number of health issues.,"Lowering high cholesterol level, low cholesterol diet bad cholesterol levels hit cholestrol"
43,Male Sex Drive Enhancer - Passion Power For Men - Increase Male Sex Drive,Natural aphrodisiacs for loss of male libido.  Herbal supplements increase low male sex drive.,aphrodisiacs low sex drive libido supplements herbal men male
45,Revivogen and Hair Essentials - Complete Hair Loss Treatment,Offers hair loss treatment and faster hair growth vitamins for male and female thinning hair,Faster hair growth vitamin hair loss treatment hair essentials Revivogen topical shampoo
46,XPress Shipping (USA),,
49,Revivogen DHT Shampoo - Re-Grow Thicker Hair,Revivogen hair loss shampoo effectively block dht the main cause of male and female hair loss.,Revivogen DHT hair loss shampoo hair loss treatment treatments conditioners dht blocker hair growth revivogen revivogens revogen
50,Arthritis Joint Relief 2HD - All Natural Remedy for Arthritis,Offers herbal products that help relieve the pain and discomfort of degenerative Arthritis.,Degenerative psoriatic arthritis treatment medication herbal natural arthitis
51,Revivogen New Hair Growth - Natural Hair Growth Treatment,"Offers a selection of high quality hair loss products, and tries to explain the causes of hair loss.",cause causes hair hari loss bald balding thinning hair growth revivogen
52,Body sugaring hair removal - Parissa Sugaring Value Pack,Body sugaring and waxing hair removal products for men and women,hair removal sugaring waxing body hair removal back hair leg laser hari removal shaving
53,Anti Wrinkle Face and Skin Care Cream,,
54,"prostate cancer treatment, prostate cure and information",Offers a herbal treatment for prostate cancer.,"prostate cancer treatment, prostate cure and information herbal natural"
55,Quit Smoking with Nicitout herbal program,Offers quit smoking techniques and herbal programs.,quit smoking smokeing nicitout nicatine program treatment treatments quiting smoking tips help
