product_grp_id,title_tag_data,meta_description,meta_keywords
1,Dog Arthritis - Joint Support Supplements for Smaller Canines,This all natural dog joint support supplement is not just for senior dogs or those with arthritis!,Canine arthritis dog joint problems herbal medication
5,Cat Ear Mites - Ear Clear Drops for Feline Ear Mites,"Does your cat have ear mites? Left unattended, infection caused by cat ear mites can spread to the brain, possibly even causing death. The natural herbs found in Feline Ear Clear Drops help to fight viral infections, anxiety and depression. It also acts as a disinfectant.",Feline ear infections cat ear mites treatment disinfectant fungal ear infections
6,Feline Arthritis - Old Timer Medicine for Cat Arthritis,"Cat arthritis can be debilitating to cats of any age; even a loving pat can be painful. Feline Old Timer is an herbal tonic which helps reduce joint inflammation, restore damaged cartilage and improve the immune system.",Cat arthritis feline arthritis joint inflammation breakdown cartilage cushioning herbal treatment
10,Dog Liver Disease Treatment - Milk Thistle for Dog Liver Problems,"Canine Milk Thistle is a highly effective herbal tonic. It treats a wide variety of dog liver diseases, and is also helpful for digestive disorders.",Dog liver disease symptoms canine liver disease treatment herbal tonic
11,Dog Vitamin Supplements - Nu-Pet Vitamin and Antioxidant Wafers,Canine vitamin & antioxidant formula to keep your dog's body in top health.,Dog vitamins Canine vitamins mineral nutritious herbal antioxidants anemia energy fre
12,Cat Bad Breath Treatment - Feline Mouth Drops help Fight Gingivitis and Mouth Infection,"Try Feline Mouth Drops, it’s like herbal mouth wash for Kitty, but even better because it treats gingivitis and mouth infection, the cause of the problem.",Feline bad breath cat  infection gingivitis herbal mouth wash
20,Dog Collars - Small Hemp Collars for Canines,"Earth Dog solid collars and leashes are available in 4 solid colors. Collars feature contoured, quick-release hardware and leashes have 1"" snap hooks.",hemp collars hypoallergenic non-toxic dyes natural
22,Dog Cancer Tumors - Canine Cancer Fighting Kit Cleans Blood and Contains Vitamins and Antioxidants,"Dogs can suffer from any different types of cancer. In older dogs, skin cancer is very common. Most skin tumors are benign (harmless), but if you spot a lump on your dog’s skin, you should have your vet check it out.",Canine cancer dog cancer prevention canine tumors blood cleanser essiac tea natural treatment antioxidants
23,Dog Skin Problems - All Clear Ointment for Canine Skin Disease and Dry Dog Skin,Canine All Clear Ointment is an herbal formulation that soothes and heals dog skin affected by bacterial and fungal infections and other skin irritations.,Dog skin problems conditions Dog skin irritations care infection itchy disorders
24,Cat Skin Diseases - All Clear Ointment for Feline Skin Disorders,"Is your cat’s skin swollen, red, hot or itchy? These are some of the signs of irritation and/or infection. Feline All Clear Ointment is an herbal formulation that soothes and heals skin affected by bacterial and fungal infections and other cat skin disorders.",skin disorder scratch fever disease cat health feline pet medication herbal iiriation itchy infection skin fur
25,Dog Ear Mites - Ear Clear Drops for Canine Ear Mites Helps Fight Fungal Ear Infections,"Dog ear mites are extremely common. They are tiny insects that spend most of their lives inside your dog’s ear. As they’re too small to be seen with the naked eye, ear mites are easily missed.",NHV Dog Ear Clear Drops dog ear mites fungal ear infections
26,Dog Ear Infections - Echo Gold Treatment for Canine Ear Infections,"Canine Echo Gold is an effective, natural remedy. It contains powerful herbal antibiotic and anti-inflammatory agents to fight dog ear infections and restore calm and comfort to your dog.",Dog ear infection canine ear infections herbal tonic anti-inflammatory antibiotic
27,Feline Ear Infections - Echo Gold Treatment for Cat Ear Infections,Does your cat often scratch his ear or shake his head vigorously? He may be suffering from a cat ear infection.,Feline scratch ear infection cat anti-inflammatory herbal treatment tonic
28,Cat Cancer Treatments - ES Clear for Feline Cancer,The herbs found in Feline ES Clear may help reduce cat tumor growth and purify your cat's blood. It also helps strengthen the natural defense mechanisms of your pet's body against disease.,Cat cancer treatment feline disease
29,Dog Cancer Treatments ES Clear for Canine Cancer,"There are many forms of canine cancer. But just as in human cancer, dog cancer is defined by an uncontrolled growth of cells. These malignant (harmful) cells form tumors and destroy healthy cells. They can then spread to other parts of your dog’s body through the bloodstream.",Canine cancer dog cancer prevention canine tumors blood cleanser natural defense mechanisms
30,Cat Pink Eye - Eye Easy for Feline Conjunctivitis,"Does your cat’s eye look pink, swollen and have a thick discharge? If so, he may be suffering from cat conjunctivitis or cat pink eye.",Feline eye problems cat conjunctivitis pink eye desease herbal antibiotic
31,Dog Pink Eye - Eye Easy Treatment for Canine Conjunctivitis,If you dog’s eyes are pink or red – possibly swollen with a thick discharge – he’s probably suffering from dog “pink eye” (conjunctivitis).,Dog eye problems and canine eye infection conjunctivitis
32,Cat cuts and wound Antiseptic - Feline First Aid Spray,"Feline First Aid Spray is an easy-to-apply herbal formulation designed to heal cuts, wounds and scratches. It is anti fungal and antibacterial and will help to prevent infection, repel insects, repair the wound site more quickly and reduce pain.",Cat scratch fever disease cat wounds cut prevent infection reduce pain
33,Dog Wound and Cut Treatment - Anti-Fungal and Antibacterial Spray for Canines,"Canine First Aid Spray is an all natural herbal formulation, highly effective in treating minor wounds on dogs.",Dog wounds Canine cut scratch healing spray prevent infection reduce pain
34,Cat Paw Injury - Heal-Care Ointment for Feline Paw Problems,Is your cat limping or avoiding using one of his paws? You can help to heal your cat's injured paw with this soothing oil-based preparation. Feline Heal-Care will help to relieve the pain while cleaning any infection that may exist.,Cat paws feline paws healing herbal ointment footpads
35,Dog Paw Injury - Heal-Care Ointment for Canine Paw Injury and Bruised Paws,"Canine Heal-Care helps keep pain at bay, while cleaning infected wounds and promoting quick healing.",Dog paw problems canine bruised paws treatment  infection
36,Cat Heart Disease - Hearty Heart Treatment for Cat Heart Problems,"Feline Hearty Heart is a natural, herbal formula whose ingredients have been used for centuries to aid in the treatment of cat heart disease.",Feline heart  disease cat disease herbal natural formula aid treatment symptoms
37,Dog Heart Disease - Hearty Heart for Canine Heart Problems,"Canine Hearty Heart, an all-natural herbal blend of herbs, is highly effective in treating canine heart diseases. It gently strengthens your dog’s heart and helps him live a long, healthy life.",Canine heart failure Canine heart murmur dog disease heart muscle
38,Cat Worm Medicine - Inulin PK for Feline Worm and Parasite Problems,Feline Inulin PK is an herbal formulation that fights cat roundworm and other intestinal parasites and helps to heal the damage caused by the parasites.,Feline parasites ringworms ringworm cat worms intestinal
39,Dog Worm Treatment - Inulin PK for Canine Worms and Parasites,"A healthy, herbal product, Canine Inulin PK fights internal parasites – including roundworm – and helps repair the damage they’ve caused. ",Dog parasites canine worms canine parasites ringworm roundworm
40,Dog Anxiety - Lesstress Treatment for Canine Separation Anxiety,"If your dog misbehaves when you leave him alone, he may be suffering from separation anxiety. Or maybe he’s uncontrollably hyperactive at times. Either way, Lesstress will calm you dog and make him more relaxed and manageable.",Dog anxiety stress Canine separation anxiety nervous system separation anxiety
41,Feline Stress - Lesstress Treatment for Cat Anxiety and Stress,Do you think your cat may be feeling anxious? Feline Lesstress is an herbal formula that assists in relieving stress and boosting the immune system in cats.,Cat anxiety feline stress treatment herbal formula excitability
